Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-01-01,ETH,730.0351684102,736.7099217033,749.0597988487,721.9209813522
2021-01-02,ETH,771.4757566597,729.7325671355,784.5060312161,716.2258855237
2021-01-03,ETH,976.8926808393,771.7942283706,989.551795499,765.723863603
2021-01-04,ETH,1017.8623988981,971.6427188823,1151.0693893,890.4738063562
2021-01-05,ETH,1123.1628410718,1041.4960000123,1126.8707718668,980.2780636348
2021-01-06,ETH,1193.5715202415,1101.9035692061,1210.541549465,1059.1474753692
2021-01-07,ETH,1251.0492101183,1209.686756372,1287.692633766,1160.9034027609
2021-01-08,ETH,1208.5799785678,1223.8425646029,1273.60307923,1069.0835565634
2021-01-09,ETH,1287.4841438663,1215.225473042,1302.2222880109,1171.7174976493
2021-01-10,ETH,1281.9976614145,1275.4515448761,1344.6138305963,1161.8346835687
2021-01-11,ETH,1055.8909250422,1253.2708043946,1257.7032600614,912.3281017097
2021-01-12,ETH,1064.2012838901,1087.6746225362,1149.7556812757,1007.5698275053
2021-01-13,ETH,1116.4340868185,1050.8308074089,1136.8125418526,989.8557858136
2021-01-14,ETH,1177.3442448293,1129.6916767608,1245.1143856046,1087.8991567728
2021-01-15,ETH,1171.3958830887,1230.9664858131,1254.4915101784,1071.7724200572
2021-01-16,ETH,1227.0870408156,1168.9245438283,1292.5577521532,1153.1230095731
2021-01-17,ETH,1252.9981581457,1228.3771635037,1268.6658907132,1167.1058927446
2021-01-18,ETH,1238.6455042902,1233.2153850116,1255.736007179,1189.3554541822
2021-01-19,ETH,1411.8339394749,1258.8308727002,1439.3277249001,1252.6486805552
2021-01-20,ETH,1332.6425126838,1367.6633550492,1407.4379307123,1236.7450253429
2021-01-21,ETH,1117.4836784751,1377.5028825258,1388.918842536,1086.0370263545
2021-01-22,ETH,1250.7151664476,1111.2649463623,1275.9558118998,1044.2166271905
2021-01-23,ETH,1235.091639789,1234.5621175427,1274.1911589651,1198.3501194273
2021-01-24,ETH,1368.8956047745,1234.3390013843,1370.1538190218,1221.6730103371
2021-01-25,ETH,1324.8584871299,1393.7109740444,1461.6492677047,1295.5899665958
2021-01-26,ETH,1350.7369555572,1318.39283584,1378.6156149156,1249.4702271129
2021-01-27,ETH,1247.6565556826,1367.5546270094,1373.9531012597,1209.3260137241
2021-01-28,ETH,1354.96039384,1241.7860374951,1361.0169749852,1220.7835674778
2021-01-29,ETH,1407.6817902673,1331.2338482195,1439.7233465199,1288.1300932031
2021-01-30,ETH,1385.498675211,1380.0117732689,1406.6202566072,1329.2030581509
2021-01-31,ETH,1315.243744537,1379.3260347962,1381.6806609607,1283.9226938994
2021-02-01,ETH,1357.0479899865,1314.4190185241,1364.2774907694,1271.9882885825
2021-02-02,ETH,1540.6512876256,1374.4827977797,1549.0337027754,1361.9352112887
2021-02-03,ETH,1644.6859673423,1513.8096086686,1650.3884716015,1510.6196752147
2021-02-04,ETH,1628.4680083886,1665.8928048334,1697.1071828523,1558.5836890519
2021-02-05,ETH,1704.8323001183,1596.9919341709,1761.3547795399,1592.8548347821
2021-02-06,ETH,1708.7282991033,1720.1098276851,1743.5919210664,1647.8198010308
2021-02-07,ETH,1584.68192312,1678.5881497557,1694.6962757031,1493.6428829531
2021-02-08,ETH,1714.8760437,1614.2452653941,1776.470982585,1566.1814939035
2021-02-09,ETH,1762.2683020123,1752.2560887496,1824.58681442,1710.0775187641
2021-02-10,ETH,1747.1977271685,1772.1119761449,1839.3936492133,1693.0255858427
2021-02-11,ETH,1781.5847291302,1743.124852908,1816.9260592408,1706.1661803532
2021-02-12,ETH,1845.8201487353,1787.2889192843,1862.1326646879,1741.4001583529
2021-02-13,ETH,1811.2688742943,1844.3205129455,1872.5229306021,1767.9687728067
