Date,Closing Price (USD)
2021-01-01,29333.6051206224
2021-01-02,32154.1673632745
2021-01-03,33002.5364270397
2021-01-04,31431.6122797216
2021-01-05,34433.6065138377
2021-01-06,36275.7563476709
2021-01-07,39713.5078567171
2021-01-08,40519.4485975339
2021-01-09,40258.923988658
2021-01-10,38709.7653748751
2021-01-11,34409.6423752223
2021-01-12,34214.6102620504
2021-01-13,37017.0075034547
2021-01-14,38435.8635146613
2021-01-15,36751.5849736892
2021-01-16,36016.7796059422
2021-01-17,36375.8113792618
2021-01-18,36346.6095022257
2021-01-19,36577.5196463886
2021-01-20,35004.5326268831
2021-01-21,30606.1826756533
2021-01-22,33368.3659318948
2021-01-23,32070.0974252022
2021-01-24,32285.726132437
2021-01-25,32500.2559626891
2021-01-26,32324.5556507343
2021-01-27,30534.9993730199
2021-01-28,33408.2183373915
2021-01-29,34842.5573931247
2021-01-30,34622.3732315285
2021-01-31,33087.3698645166
2021-02-01,33613.320764309
2021-02-02,35632.9019515192
2021-02-03,37397.426364087
2021-02-04,37256.2521108726
2021-02-05,37851.5965900821
2021-02-06,40302.7997928393
2021-02-07,38461.6814033048
2021-02-08,44716.6854690563
2021-02-09,46674.851688109
2021-02-10,45237.475689253
2021-02-11,47500.8975242038
2021-02-12,47884.1828622953
2021-02-13,47005.1906488965
2021-02-14,49151.167576322
2021-02-15,48125.9921954072
2021-02-16,48840.4144745814
2021-02-17,52165.3025552208
2021-02-18,51728.5087967282
2021-02-19,55719.2043616996
2021-02-20,54801.6486439949
2021-02-21,57128.6426064698
2021-02-22,54181.9146491937
2021-02-23,48172.8774769266
2021-02-24,48745.4329843392
2021-02-25,48291.4120833455
2021-02-26,45752.1149194059
2021-02-27,46642.6060765784
2021-02-28,45092.8065726007
2021-03-01,49248.914013312
2021-03-02,47900.7768783279
2021-03-03,50811.855174443
2021-03-04,48259.4870766621
2021-03-05,49149.7308288371
2021-03-06,48879.1519041557
2021-03-07,50594.6985745107
2021-03-08,51503.2581321815
2021-03-09,54458.0378114244
2021-03-10,56915.1739350527
2021-03-11,57636.7579619661
2021-03-12,57306.166262989
2021-03-13,60743.0418249111
2021-03-14,60197.9019918003
2021-03-15,56300.3341086303
2021-03-16,56639.7839496711
2021-03-17,58567.2837810578
2021-03-18,57983.094743574
2021-03-19,58451.7314659458
2021-03-20,58593.6024540601
2021-03-21,57796.4673712199
2021-03-22,54329.3586346314
2021-03-23,54794.2977137099
2021-03-24,52787.7455257516
2021-03-25,52173.8679802456
2021-03-26,54483.0457323
2021-03-27,56234.3561050027
2021-03-28,55343.9258153269
2021-03-29,57627.6792491031
2021-03-30,58734.4754337222
2021-03-31,58724.6645166272
2021-04-01,58984.6129299288
2021-04-02,58821.6269944414
2021-04-03,57517.7987731414
2021-04-04,58177.4027637323
2021-04-05,58843.5595402095
2021-04-06,58040.1876018833
2021-04-07,56508.9428638801
2021-04-08,57880.9056838598
2021-04-09,58171.9090187021
2021-04-10,59295.950044014
2021-04-11,59822.9016774304
2021-04-12,59853.1972422704
2021-04-13,63223.8843907858
2021-04-14,62926.5571759009
2021-04-15,63346.7890351052
2021-04-16,61965.7825980957
2021-04-17,60574.4447282273
2021-04-18,56850.8301656893
2021-04-19,56224.1015877117
2021-04-20,56608.7697483925
2021-04-21,54144.4274760563
2021-04-22,51965.0595594061
2021-04-23,50669.1443821756
2021-04-24,50733.7695036374
2021-04-25,48542.9522029844
2021-04-26,53558.7078446195
2021-04-27,55123.8619814166
2021-04-28,54591.5153255436
2021-04-29,53260.2953411529
2021-04-30,57302.6464240813
2021-05-01,57677.9752218988
2021-05-02,56427.0431250152
2021-05-03,57255.3068375553
2021-05-04,53658.8431208163
2021-05-05,57252.7021845011
2021-05-06,56583.8498791665
2021-05-07,57107.1206718864
2021-05-08,58788.2096789273
2021-05-09,58102.1914262342
2021-05-10,55715.5466512869
2021-05-11,56573.5554719043
2021-05-12,52147.8211869823
2021-05-13,49764.1320815975
2021-05-14,50032.6931367648
2021-05-15,47885.6252547166
2021-05-16,45604.6157536131
2021-05-17,43144.4712908603
2021-05-18,43196.046480024
2021-05-19,39439.2376354523
2021-05-20,39756.0898485374
2021-05-21,36921.767807956
2021-05-22,37490.9418875959
2021-05-23,34259.5484158699
2021-05-24,38085.7893606212
2021-05-25,38290.4485281751
2021-05-26,38915.0048285955
2021-05-27,38717.7692199163
2021-05-28,34898.0087195578
2021-05-29,34535.5224675641
2021-05-30,35749.6556921411
2021-05-31,36929.476739811
2021-06-01,36419.749500682
2021-06-02,37422.5714552122
2021-06-03,38958.4927796292
2021-06-04,37190.1013513708
2021-06-05,34981.3806930972
2021-06-06,35335.6791986413
2021-06-07,34016.5653405018
2021-06-08,33504.2566126633
2021-06-09,37127.1897203816
2021-06-10,36715.04710304
2021-06-11,37341.5894340145
2021-06-12,35655.1644510507
2021-06-13,38894.5562650593
2021-06-14,40162.3200731352
