Date,Closing Price (USD)
2021-01-01,730.0351684102
2021-01-02,771.4757566597
2021-01-03,976.8926808393
2021-01-04,1017.8623988981
2021-01-05,1123.1628410718
2021-01-06,1193.5715202415
2021-01-07,1251.0492101183
2021-01-08,1208.5799785678
2021-01-09,1287.4841438663
2021-01-10,1281.9976614145
2021-01-11,1055.8909250422
2021-01-12,1064.2012838901
2021-01-13,1116.4340868185
2021-01-14,1177.3442448293
2021-01-15,1171.3958830887
2021-01-16,1227.0870408156
2021-01-17,1252.9981581457
2021-01-18,1238.6455042902
2021-01-19,1411.8339394749
2021-01-20,1332.6425126838
2021-01-21,1117.4836784751
2021-01-22,1250.7151664476
2021-01-23,1235.091639789
2021-01-24,1368.8956047745
2021-01-25,1324.8584871299
2021-01-26,1350.7369555572
2021-01-27,1247.6565556826
2021-01-28,1354.96039384
2021-01-29,1407.6817902673
2021-01-30,1385.498675211
2021-01-31,1315.243744537
2021-02-01,1357.0479899865
2021-02-02,1540.6512876256
2021-02-03,1644.6859673423
2021-02-04,1628.4680083886
2021-02-05,1704.8323001183
2021-02-06,1708.7282991033
2021-02-07,1584.68192312
2021-02-08,1714.8760437
2021-02-09,1762.2683020123
2021-02-10,1747.1977271685
2021-02-11,1781.5847291302
2021-02-12,1845.8201487353
2021-02-13,1811.2688742943
2021-02-14,1828.0926556783
2021-02-15,1787.1229409878
2021-02-16,1763.7516712651
2021-02-17,1835.9914626743
2021-02-18,1936.7152857294
2021-02-19,1958.7391904297
2021-02-20,1855.2648413078
2021-02-21,1913.8002838917
2021-02-22,1782.1495911944
2021-02-23,1546.6229610737
2021-02-24,1589.2668006007
2021-02-25,1524.1806061529
2021-02-26,1435.7244181925
2021-02-27,1495.812837494
2021-02-28,1412.7131887857
2021-03-01,1555.8447802536
2021-03-02,1483.9120430764
2021-03-03,1593.87899763
2021-03-04,1528.5683097828
2021-03-05,1543.5683862909
2021-03-06,1658.8123184002
2021-03-07,1681.9917947622
2021-03-08,1782.4868586483
2021-03-09,1834.6652773466
2021-03-10,1829.3913235136
2021-03-11,1822.2317968982
2021-03-12,1762.2335996562
2021-03-13,1905.9466708556
2021-03-14,1880.7561142354
2021-03-15,1789.8440534586
2021-03-16,1797.8202646051
2021-03-17,1815.7424004952
2021-03-18,1790.5287290004
2021-03-19,1819.5551488499
2021-03-20,1833.745116795
2021-03-21,1798.8897051251
2021-03-22,1684.4615704989
2021-03-23,1677.3997094293
2021-03-24,1592.2323707381
2021-03-25,1598.2561459368
2021-03-26,1681.9055387468
2021-03-27,1722.4718612491
2021-03-28,1676.3570868781
2021-03-29,1809.0688833594
2021-03-30,1841.7557639612
2021-03-31,1913.851918614
2021-04-01,1968.1667128324
2021-04-02,2096.5905056962
2021-04-03,2036.7518967658
2021-04-04,2067.5147852089
2021-04-05,2114.1439392315
2021-04-06,2117.5958108286
2021-04-07,2011.5504260806
2021-04-08,2069.660876338
2021-04-09,2070.601411041
2021-04-10,2118.7059924048
2021-04-11,2137.0958672385
2021-04-12,2144.4204637437
2021-04-13,2280.9078630653
2021-04-14,2427.8050868766
2021-04-15,2538.0625778344
2021-04-16,2438.4295943481
2021-04-17,2374.755809849
2021-04-18,2249.0086956254
2021-04-19,2201.6483511822
2021-04-20,2329.1773316843
2021-04-21,2365.5466472092
2021-04-22,2424.2205214138
2021-04-23,2329.0314833535
2021-04-24,2271.378121535
2021-04-25,2276.2280187885
2021-04-26,2515.3095038267
2021-04-27,2624.3557189947
2021-04-28,2726.1520318035
2021-04-29,2760.3349559568
2021-04-30,2751.8717637673
2021-05-01,2943.1760512939
2021-05-02,2941.1423331647
2021-05-03,3393.3273810235
2021-05-04,3266.4455483605
2021-05-05,3495.9683427626
2021-05-06,3541.9305747705
2021-05-07,3445.4267389274
2021-05-08,3882.8052599473
2021-05-09,3896.3218856174
2021-05-10,3998.9132149877
2021-05-11,4132.7575457957
2021-05-12,4076.9597105759
2021-05-13,3767.0879847605
2021-05-14,4100.0274696175
2021-05-15,3746.5762483716
2021-05-16,3519.1052246467
2021-05-17,3231.944177145
2021-05-18,3415.949413392
2021-05-19,2686.1658605218
2021-05-20,2744.5236477636
2021-05-21,2407.4276232666
2021-05-22,2329.0347280905
2021-05-23,2080.3714204131
2021-05-24,2539.9978638989
2021-05-25,2691.5372142828
2021-05-26,2821.622828093
2021-05-27,2774.5366296328
2021-05-28,2372.9684320829
2021-05-29,2281.7697244023
2021-05-30,2407.6083522386
2021-05-31,2650.2153535206
2021-06-01,2594.7180822734
2021-06-02,2683.002836929
2021-06-03,2839.5365832546
2021-06-04,2731.62833844
2021-06-05,2574.8653375295
2021-06-06,2677.9014276621
2021-06-07,2610.5418189763
2021-06-08,2525.5784844278
2021-06-09,2603.3259858813
2021-06-10,2482.1104738648
2021-06-11,2363.0225009193
2021-06-12,2379.87497456
2021-06-13,2520.3766460932
2021-06-14,2560.1213773409
2021-06-15,2557.9001346791
2021-06-16,2387.1290757695
2021-06-17,2342.9100004971
2021-06-18,2208.3252370951
2021-06-19,2181.407845179
2021-06-20,2258.0933038483
2021-06-21,1880.8371929494
2021-06-22,1877.2549468501
2021-06-23,1949.3727250359
2021-06-24,1980.7225029947
2021-06-25,1830.6800121565
2021-06-26,1783.2329210823
2021-06-27,1946.1526657902
2021-06-28,2096.7913438084
2021-06-29,2181.5038145863
2021-06-30,2257.3065136491
2021-07-01,2127.71159805
2021-07-02,2116.9506026868
2021-07-03,2197.4317962958
2021-07-04,2366.4015017922
2021-07-05,2236.6980105497
2021-07-06,2313.5091511394
2021-07-07,2330.3799294583
2021-07-08,2097.3263719587
2021-07-09,2159.8743034529
2021-07-10,2113.7265413839
2021-07-11,2152.3916045837
2021-07-12,2035.0778418152
2021-07-13,1935.5846562342
2021-07-14,2008.5734332562
2021-07-15,1925.2901262112
2021-07-16,1882.4577697959
2021-07-17,1901.7229221596
2021-07-18,1890.6749303755
2021-07-19,1829.12505726
2021-07-20,1776.8790098079
2021-07-21,1968.4738988221
2021-07-22,2005.7264606435
2021-07-23,2079.9505524664
