Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-01-02,136.8669235236,126.3666743529,141.0165830709,123.4609059902
LTC,2021-01-03,155.755916445,136.4876705584,158.3786113029,134.8231246133
LTC,2021-01-04,151.8488492942,160.1399918863,172.2868706489,139.6222534285
LTC,2021-01-05,162.4096820406,155.3133673175,162.4096820406,146.728803209
LTC,2021-01-06,167.7460166927,158.7763493197,169.9154023759,155.3563190578
LTC,2021-01-07,172.8270786898,169.140535742,181.0479644365,162.3980880026
LTC,2021-01-08,173.8433912154,169.3463685308,181.6933161082,151.2037750855
LTC,2021-01-09,175.5678322722,172.031712118,178.8599748204,163.4768193571
LTC,2021-01-10,171.1082578759,177.2610337318,185.4566117057,160.962886514
LTC,2021-01-11,134.7744662649,170.0135676256,170.4183044576,112.6570615952
LTC,2021-01-12,134.5519025046,139.0844734993,146.8423512964,128.1449954895
LTC,2021-01-13,143.9260570353,133.4902482618,146.4599687621,126.2940212505
LTC,2021-01-14,147.8348259378,147.4119687727,156.6852548585,143.6743570743
LTC,2021-01-15,142.3783133482,152.3631049472,155.362082709,130.6300962443
LTC,2021-01-16,144.0718484425,143.7501804654,152.5834839326,139.4284758964
LTC,2021-01-17,144.3492372402,143.6060156477,146.9877584827,136.3752416732
LTC,2021-01-18,148.9961340369,142.8726162938,154.8154576507,138.6125015209
LTC,2021-01-19,158.0751327452,151.9872202584,166.2619568491,150.3122590284
LTC,2021-01-20,148.0994082402,151.8500920862,156.1614726692,138.6002390058
LTC,2021-01-21,128.249402853,149.7505642609,150.2629653077,125.6705076833
LTC,2021-01-22,139.2522248581,129.7782352335,141.9769391177,122.7498862648
LTC,2021-01-23,137.3207917062,137.8898828184,143.7201431879,135.2069806847
LTC,2021-01-24,139.3606552644,137.7482442294,142.7119728416,134.0506029434
LTC,2021-01-25,138.1507948776,141.2195095666,147.4612474236,136.792774227
LTC,2021-01-26,133.7348590394,137.1262329779,139.8189522844,129.9190390488
LTC,2021-01-27,124.2910124412,134.7848055103,135.0048828615,118.3655404285
LTC,2021-01-28,133.997600688,122.7014179046,134.580348105,121.0143669774
LTC,2021-01-29,138.2942543269,133.4731496612,145.7559252167,131.7201741128
LTC,2021-01-30,133.8928251957,134.7821732068,136.2789371043,128.1121693874
LTC,2021-01-31,128.8202611767,133.4902766957,135.117740611,126.0179398293
LTC,2021-02-01,132.4747675639,129.5840003952,136.4357320973,126.1341946281
LTC,2021-02-02,143.9269690824,132.0567990047,145.9936153285,131.9571293174
LTC,2021-02-03,154.6889112996,142.1882904658,156.1098985643,142.1498804777
LTC,2021-02-04,146.9977943305,156.0817939374,158.7904051264,141.4496228828
LTC,2021-02-05,153.6731060437,145.1867681109,157.0557206934,143.6824453106
LTC,2021-02-06,158.940760674,155.0927189903,164.1796798724,151.4554298461
LTC,2021-02-07,150.0998833155,155.7363254121,157.406557553,145.3867947145
LTC,2021-02-08,165.8425169766,150.9705009427,168.1455453286,147.9364604966
LTC,2021-02-09,175.8565123356,167.5723736527,177.9335823139,164.5244617339
LTC,2021-02-10,181.2836195589,181.8078538953,195.2807870301,170.6671259064
LTC,2021-02-11,186.2353278782,181.8291153788,193.3633549201,175.9236917214
LTC,2021-02-12,198.0693915011,183.7750001124,198.1606168138,176.9532018747
LTC,2021-02-13,225.3745076841,197.0477981823,227.6426273834,192.0515662863
LTC,2021-02-14,219.3942622208,226.3166847691,230.8079467463,208.9212282917
LTC,2021-02-15,211.0173900257,213.8160001472,220.0155692371,186.7014452393
LTC,2021-02-16,208.4603743637,207.9456695007,221.9345062176,200.5616421381
LTC,2021-02-17,233.0111954984,210.3334704258,236.9020374056,204.1023945084
LTC,2021-02-18,227.5328688787,237.5357693685,239.1573782858,221.2345715614
LTC,2021-02-19,239.1891587263,226.7284027023,241.7097099132,220.2955929586
LTC,2021-02-20,219.9948816082,236.5182474015,246.7910590058,215.4062928534
LTC,2021-02-21,225.358492689,227.033796449,233.7349508898,220.2728817739
LTC,2021-02-22,206.6405504867,227.3352173948,227.4716681611,180.3257397183
LTC,2021-02-23,173.5110373373,208.223516206,208.7311538933,158.6515543044
LTC,2021-02-24,177.0361874898,177.5267935241,189.4984979527,169.139168517
LTC,2021-02-25,187.6235247993,181.6825895833,205.2628739963,175.5690017507
LTC,2021-02-26,169.0006758211,179.535848509,182.8191338215,162.8664729345
LTC,2021-02-27,173.0059706608,170.3309509281,179.859273898,169.5840057322
LTC,2021-02-28,164.2744002988,172.1224539622,173.2191877944,153.3318658095
LTC,2021-03-01,175.4997864615,165.5301283006,176.402883243,164.0546839638
LTC,2021-03-02,174.5045165895,176.0156917256,185.3584992054,170.9764859679
LTC,2021-03-03,189.5274743184,179.2446431631,196.5730143052,177.1884275137
LTC,2021-03-04,180.0895495321,187.9248517674,194.4451563551,177.2684382495
LTC,2021-03-05,182.8956075112,180.7803424736,183.0541922415,168.8196657686
LTC,2021-03-06,182.4671904401,180.4536912309,184.685577955,174.8752725721
LTC,2021-03-07,188.1702835629,182.8542250926,189.6571454651,182.3610100128
LTC,2021-03-08,188.8336224344,190.701192353,195.2273252355,179.9454522719
LTC,2021-03-09,202.5966710074,191.8013116446,203.704101478,189.0507530807
LTC,2021-03-10,204.5075836438,203.9897925231,208.070833699,192.4021877759
LTC,2021-03-11,200.5638856285,200.4230510686,202.913903965,191.5061111634
LTC,2021-03-12,218.9643653773,201.4380632187,224.2098008694,198.6312847723
LTC,2021-03-13,224.2006043158,220.7946557522,229.3160345007,212.8755296656
LTC,2021-03-14,218.3695143707,225.3168425837,227.1361442316,214.6820925781
LTC,2021-03-15,201.2060477169,213.9101261203,222.3232034923,197.8928303506
LTC,2021-03-16,201.5905729061,200.8525241788,205.2861317686,191.5257241601
LTC,2021-03-17,204.0587840631,201.6651791453,206.9409404121,194.393496227
LTC,2021-03-18,200.8663924366,205.896144019,208.1099004952,199.3091477246
LTC,2021-03-19,201.0744261788,199.722743966,205.0906907566,196.0184568253
LTC,2021-03-20,202.3970564926,200.2928725077,206.2149754856,199.1596394228
LTC,2021-03-21,197.2603716852,200.2667487933,202.0083389551,192.6264014828
LTC,2021-03-22,186.3866020614,195.4535755431,198.8775855254,184.9156182825
LTC,2021-03-23,185.5958339848,185.8707178025,189.5677464331,181.2390875322
LTC,2021-03-24,178.8131584588,185.9476421042,196.9325143718,172.603030342
LTC,2021-03-25,173.4396441317,176.1771205296,178.2896186555,167.966942476
LTC,2021-03-26,182.2731261185,171.6456551962,183.8488459176,171.5866743901
LTC,2021-03-27,184.9175129081,183.5982831143,186.1414005579,177.9102720338
LTC,2021-03-28,182.7040689916,184.1283810215,187.2924782294,180.1376444562
LTC,2021-03-29,194.6064829566,184.2422795721,197.3800291367,182.4771802811
LTC,2021-03-30,195.154036096,193.6763110318,200.0729694826,190.3285370077
LTC,2021-03-31,195.2336416796,195.9752878475,199.0455956747,187.3411445708
LTC,2021-04-01,202.4054078032,196.7473705443,204.8355736814,194.1950044139
LTC,2021-04-02,206.4487536393,202.5891311487,210.4529901918,201.3327668625
LTC,2021-04-03,198.9417594944,211.4953424777,217.643062305,195.8913608851
LTC,2021-04-04,201.9035520415,195.4616432444,204.8079047551,192.6802480079
LTC,2021-04-05,222.7017531726,202.3395531311,225.1245874074,198.3314516573
LTC,2021-04-06,239.2651953123,221.4492965689,244.428120256,213.1536004119
LTC,2021-04-07,223.9454368926,237.1080618905,242.8669646835,211.1365887168
LTC,2021-04-08,226.4776595907,219.1860464648,227.6770449434,217.2501890285
LTC,2021-04-09,223.0928834063,226.2781422624,228.8814804944,221.8515089175
LTC,2021-04-10,245.251478862,221.1197989083,249.6429444465,219.3154467392
LTC,2021-04-11,248.9245400528,256.2987359133,262.4996670941,244.8365171896
LTC,2021-04-12,246.2182140114,252.4204662195,258.8489389522,240.247370898
LTC,2021-04-13,262.3998830895,244.4154642985,273.3104194005,244.3597696373
LTC,2021-04-14,279.4758730747,267.5032461353,282.8950203448,255.9444151316
LTC,2021-04-15,288.1517528926,278.882761251,288.9186462035,266.3753891543
LTC,2021-04-16,311.5525299651,285.9575262542,317.2247631829,268.633995058
LTC,2021-04-17,311.9901244684,308.9519215152,335.674649316,297.848512251
LTC,2021-04-18,276.8915276666,301.6379049173,305.4265459081,236.8724611546
LTC,2021-04-19,271.0214572025,274.0820114595,282.3990673182,250.8840042004
LTC,2021-04-20,266.011358205,261.6422700111,273.3438592229,234.9396659189
LTC,2021-04-21,258.1158926662,261.0945348582,276.9527493158,251.8856601454
LTC,2021-04-22,255.6694243544,257.8660366824,289.7319974069,239.9124245427
LTC,2021-04-23,235.3303904448,252.7827121183,257.027994022,208.0077217117
LTC,2021-04-24,229.2165851606,241.7883692405,241.8439006718,221.4813748288
LTC,2021-04-25,219.5235101694,225.4067112871,236.2144736362,211.8101667745
LTC,2021-04-26,242.5863586142,224.1899899042,248.4246900415,221.760076753
LTC,2021-04-27,259.2107798086,247.6565221263,263.4729790325,244.1142158212
LTC,2021-04-28,257.7763270258,260.1077760823,266.6848109094,248.5553453811
LTC,2021-04-29,254.3849819028,258.7957973986,262.8941714362,248.8044300846
LTC,2021-04-30,269.800891908,255.5474998489,271.0255776486,252.9104354713
LTC,2021-05-01,272.8336635632,271.342803263,274.6782019886,266.030392602
LTC,2021-05-02,267.7607302694,276.8257365633,277.416171893,265.1817969009
LTC,2021-05-03,293.921341869,269.1399311309,299.7295111929,268.7827214187
LTC,2021-05-04,304.1684699473,294.9824845796,327.6863883226,275.6011341342
LTC,2021-05-05,352.9512389442,305.5406347706,359.9026130816,301.4405839811
LTC,2021-05-06,343.8440604031,356.1465178288,364.7646629184,323.2452368462
LTC,2021-05-07,334.7331683256,354.6376169814,372.8285132264,334.4890116563
LTC,2021-05-08,350.0846042199,345.5930160066,357.2234955735,335.1827691887
LTC,2021-05-09,382.9941668551,347.7454821832,386.5469599044,334.9877405337
LTC,2021-05-10,367.1044351921,388.2159760117,412.6542323315,336.1721097584
LTC,2021-05-11,371.6897854468,359.489930718,374.98285232,345.5959404462
LTC,2021-05-12,337.1571595178,378.2299325477,392.852291487,333.1624895322
LTC,2021-05-13,312.4601827458,309.8340296566,333.1944677276,291.8557981087
LTC,2021-05-14,327.4277230071,318.1192815076,339.4921633307,308.7000523687
LTC,2021-05-15,305.4737878299,326.832648396,332.1502150112,296.9743465224
LTC,2021-05-16,290.5481301025,300.4625113026,323.8958942528,279.5481846034
LTC,2021-05-17,276.3768324824,296.0701129546,296.3932849436,261.2617558892
LTC,2021-05-18,298.8880490266,281.5926789436,318.2362966497,278.6777953745
LTC,2021-05-19,207.5122471424,294.4206439967,300.5383453236,148.0554616928
LTC,2021-05-20,204.9770602682,186.6315163804,227.1186823134,169.686007463
LTC,2021-05-21,176.5757247188,211.3393553202,218.7611888987,157.1265626133
LTC,2021-05-22,171.4895334009,180.3615524186,184.6374552721,162.1576623801
