Date,Closing Price (USD)
2021-01-02,136.8669235236
2021-01-03,155.755916445
2021-01-04,151.8488492942
2021-01-05,162.4096820406
2021-01-06,167.7460166927
2021-01-07,172.8270786898
2021-01-08,173.8433912154
2021-01-09,175.5678322722
2021-01-10,171.1082578759
2021-01-11,134.7744662649
2021-01-12,134.5519025046
2021-01-13,143.9260570353
2021-01-14,147.8348259378
2021-01-15,142.3783133482
2021-01-16,144.0718484425
2021-01-17,144.3492372402
2021-01-18,148.9961340369
2021-01-19,158.0751327452
2021-01-20,148.0994082402
2021-01-21,128.249402853
2021-01-22,139.2522248581
2021-01-23,137.3207917062
2021-01-24,139.3606552644
2021-01-25,138.1507948776
2021-01-26,133.7348590394
2021-01-27,124.2910124412
2021-01-28,133.997600688
2021-01-29,138.2942543269
2021-01-30,133.8928251957
2021-01-31,128.8202611767
2021-02-01,132.4747675639
2021-02-02,143.9269690824
2021-02-03,154.6889112996
2021-02-04,146.9977943305
2021-02-05,153.6731060437
2021-02-06,158.940760674
2021-02-07,150.0998833155
2021-02-08,165.8425169766
2021-02-09,175.8565123356
2021-02-10,181.2836195589
2021-02-11,186.2353278782
2021-02-12,198.0693915011
2021-02-13,225.3745076841
2021-02-14,219.3942622208
2021-02-15,211.0173900257
2021-02-16,208.4603743637
2021-02-17,233.0111954984
2021-02-18,227.5328688787
2021-02-19,239.1891587263
2021-02-20,219.9948816082
2021-02-21,225.358492689
2021-02-22,206.6405504867
2021-02-23,173.5110373373
2021-02-24,177.0361874898
2021-02-25,187.6235247993
2021-02-26,169.0006758211
2021-02-27,173.0059706608
2021-02-28,164.2744002988
2021-03-01,175.4997864615
2021-03-02,174.5045165895
2021-03-03,189.5274743184
2021-03-04,180.0895495321
2021-03-05,182.8956075112
2021-03-06,182.4671904401
2021-03-07,188.1702835629
2021-03-08,188.8336224344
2021-03-09,202.5966710074
2021-03-10,204.5075836438
2021-03-11,200.5638856285
2021-03-12,218.9643653773
2021-03-13,224.2006043158
2021-03-14,218.3695143707
2021-03-15,201.2060477169
2021-03-16,201.5905729061
2021-03-17,204.0587840631
2021-03-18,200.8663924366
2021-03-19,201.0744261788
2021-03-20,202.3970564926
2021-03-21,197.2603716852
2021-03-22,186.3866020614
2021-03-23,185.5958339848
2021-03-24,178.8131584588
2021-03-25,173.4396441317
2021-03-26,182.2731261185
2021-03-27,184.9175129081
2021-03-28,182.7040689916
2021-03-29,194.6064829566
2021-03-30,195.154036096
2021-03-31,195.2336416796
2021-04-01,202.4054078032
2021-04-02,206.4487536393
2021-04-03,198.9417594944
2021-04-04,201.9035520415
2021-04-05,222.7017531726
2021-04-06,239.2651953123
2021-04-07,223.9454368926
2021-04-08,226.4776595907
2021-04-09,223.0928834063
2021-04-10,245.251478862
2021-04-11,248.9245400528
2021-04-12,246.2182140114
2021-04-13,262.3998830895
2021-04-14,279.4758730747
2021-04-15,288.1517528926
2021-04-16,311.5525299651
2021-04-17,311.9901244684
2021-04-18,276.8915276666
2021-04-19,271.0214572025
2021-04-20,266.011358205
2021-04-21,258.1158926662
2021-04-22,255.6694243544
2021-04-23,235.3303904448
2021-04-24,229.2165851606
2021-04-25,219.5235101694
